"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"B1601";"ferronnier / ferronnière d'art";"https://www.onisep.fr/http/redirection/metier/slug/MET.781";"Métallier / Métallière d'art";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1601";"Non";"";"Non";"Non"
"B1602";"vitrailliste";"https://www.onisep.fr/http/redirection/metier/slug/MET.99";"Souffleur / Souffleuse de verre";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1602";"Non";"";"Non";"Non"
"B1602";"souffleur / souffleuse de verre";"https://www.onisep.fr/http/redirection/metier/slug/MET.874";"Souffleur / Souffleuse de verre";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1602";"Non";"";"Non";"Non"
"B1602";"verrier / verrière au chalumeau";"https://www.onisep.fr/http/redirection/metier/slug/MET.560";"Souffleur / Souffleuse de verre";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1602";"Non";"";"Non";"Non"
"B1603";"bijoutier-joaillier / bijoutière-joaillière";"https://www.onisep.fr/http/redirection/metier/slug/MET.681";"Opérateur / Opératrice en orfèvrerie et bijouterie";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1603";"Non";"";"Non";"Non"
"B1603";"orfèvre";"https://www.onisep.fr/http/redirection/metier/slug/MET.310";"Opérateur / Opératrice en orfèvrerie et bijouterie";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1603";"Non";"";"Non";"Non"
"B1604";"campaniste";"https://www.onisep.fr/http/redirection/metier/slug/MET.7913";"Horloger / Horlogère";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1604";"Non";"";"Non";"Non"
"B1604";"horloger / horlogère";"https://www.onisep.fr/http/redirection/metier/slug/MET.605";"Horloger / Horlogère";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1604";"Non";"";"Non";"Non"
"B1701";"";"";"Taxidermiste";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1701";"Non";"";"Non";"Non"
"B1801";"modiste";"https://www.onisep.fr/http/redirection/metier/slug/MET.897";"Chapelier / Chapelière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1801";"Non";"";"Non";"Non"
"B1802";"maroquinier / maroquinière";"https://www.onisep.fr/http/redirection/metier/slug/MET.566";"Maroquinier / Maroquinière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1802";"Non";"";"Non";"Non"
"B1802";"sellier / sellière";"https://www.onisep.fr/http/redirection/metier/slug/MET.98";"Maroquinier / Maroquinière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1802";"Non";"";"Non";"Non"
"B1802";"bottier / bottière";"https://www.onisep.fr/http/redirection/metier/slug/MET.447";"Maroquinier / Maroquinière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1802";"Non";"";"Non";"Non"
"B1803";"fourreur / fourreuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.7938";"Couturier / Couturière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1803";"Non";"";"Non";"Non"
"B1803";"tailleur-couturier / tailleuse-couturière";"https://www.onisep.fr/http/redirection/metier/slug/MET.291";"Couturier / Couturière";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1803";"Non";"";"Non";"Non"
"B1804";"brodeur / brodeuse";"https://www.onisep.fr/http/redirection/metier/slug/MET.188";"Brodeur / Brodeuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1804";"Non";"";"Non";"Non"
"B1804";"rentrayeur / rentrayeuse de tapis et tapisserie";"https://www.onisep.fr/http/redirection/metier/slug/MET.7939";"Brodeur / Brodeuse";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1804";"Non";"";"Non";"Non"
"B1805";"styliste";"https://www.onisep.fr/http/redirection/metier/slug/MET.25";"Styliste";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1805";"Non";"";"Non";"Non"
"B1805";"créateur / créatrice textile";"https://www.onisep.fr/http/redirection/metier/slug/MET.97";"Styliste";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1805";"Non";"";"Non";"Non"
"B1806";"tapissier / tapissière d'ameublement";"https://www.onisep.fr/http/redirection/metier/slug/MET.177";"Tapissier / Tapissière d'ameublement";"https://candidat.francetravail.fr/metierscope/fiche-metier/B1806";"Non";"";"Non";"Non"
"C1101";"";"";"Chargé / Chargée de produit en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1101";"Non";"";"Non";"Non"
"C1102";"conseiller / conseillère en assurances";"https://www.onisep.fr/http/redirection/metier/slug/MET.909";"Conseiller / Conseillère en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1102";"Non";"";"Non";"Non"
"C1103";"agent général / agente générale d'assurances";"https://www.onisep.fr/http/redirection/metier/slug/MET.409";"Courtier / Courtière en assurance";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1103";"Non";"";"Non";"Non"
"C1103";"courtier / courtière";"https://www.onisep.fr/http/redirection/metier/slug/MET.925";"Courtier / Courtière en assurance";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1103";"Non";"";"Non";"Non"
"C1104";"";"";"Responsable d'agence en assurances";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1104";"Non";"";"Non";"Non"
"C1105";"actuaire";"https://www.onisep.fr/http/redirection/metier/slug/MET.861";"Actuaire";"https://candidat.francetravail.fr/metierscope/fiche-metier/C1105";"Non";"";"Non";"Non"
